"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2458602,"November 12, 2022",Florida,Orlando,"801 Rio Grande Ave",1,2,N/A
2458584,"November 12, 2022",Minnesota,Minneapolis,"4700 block of Lyndale Ave N",1,0,N/A
2458282,"November 12, 2022",Alabama,Dothan,"W Main St and Montana St",1,1,N/A
2458349,"November 12, 2022",Tennessee,Madison,"Maple St and Gallatin Pike S",1,1,N/A
2458426,"November 12, 2022",Kentucky,Lexington,"300 block of Darby Creek Rd",1,0,N/A
2458497,"November 12, 2022","New Jersey",Rahway,"1400 block of Witherspoon St",1,0,N/A
2458491,"November 12, 2022","New Jersey",Hackensack,"Lehigh St and Essex St",1,1,N/A
2458442,"November 12, 2022",Colorado,Aurora,"900 block of S Crystal Way",1,0,N/A
2458339,"November 12, 2022",Arizona,Phoenix,"44th St and Thunderbird Rd",1,0,N/A
2458310,"November 12, 2022",Pennsylvania,Kutztown,"435 Baldy Rd",1,0,N/A
2458244,"November 12, 2022",Maryland,Baltimore,"3100 block of Spaulding Ave",1,0,N/A
2458238,"November 12, 2022",Alabama,Foley,"1600 block of N Pine St",2,0,N/A
2458227,"November 12, 2022",Louisiana,Hammond,"Stephenson Ln",2,0,N/A
2458217,"November 12, 2022",Florida,Arcadia,"SW Charlotte St",2,1,N/A
2458215,"November 12, 2022",Virginia,Dumfries,"Williamstown Dr and Old Triangle Rd",1,0,N/A
2458212,"November 12, 2022",Florida,"Spring Hill","12480 Feather St",1,0,N/A
2458200,"November 12, 2022",Pennsylvania,Philadelphia,"Berkeley Dr and McMichael St",1,1,N/A
2458182,"November 12, 2022",Indiana,Richmond,"1110 block of N I St",1,0,N/A
2458615,"November 12, 2022",Texas,"San Antonio","200 block of Hazel St",1,0,N/A
2458631,"November 12, 2022","New York",Rochester,"Norton St and Hudson Ave",1,0,N/A
2458075,"November 11, 2022",Texas,Houston,"900 block of Ridge St",1,0,N/A
2458552,"November 11, 2022",Texas,"Fort Worth","4300 block of Panola Ave",1,0,N/A
2458071,"November 11, 2022",Wisconsin,Milwaukee,"3000 block of N 14th St",1,0,N/A
2458049,"November 11, 2022",Michigan,Fremont,"Sleeper Ave and W 80th St",1,0,N/A
2458037,"November 11, 2022",Michigan,Kalamazoo,"W Michigan Ave and Howard St",1,0,N/A
2458538,"November 11, 2022",Wisconsin,Milwaukee,"N 11th St and W Burleigh St",1,0,N/A
2458365,"November 11, 2022",Virginia,Lynchburg,"106 Cornerstone St",1,0,N/A
2458480,"November 11, 2022",Mississippi,Carrollton,"MS-35 and Teoc Rd",1,0,N/A
2458378,"November 11, 2022",Virginia,Richmond,"4000 block of Old Brook Rd",1,0,N/A
2458025,"November 11, 2022",Kentucky,Louisville,"1100 block of Royal Gardens Ct",1,0,N/A
2457963,"November 11, 2022",Colorado,Aurora,"900 block of Zion St",1,1,N/A
2457912,"November 11, 2022",Texas,"San Antonio","10000 block of Ingram Rd",1,0,N/A
2458424,"November 11, 2022",Ohio,Brunswick,N/A,1,0,N/A
2457875,"November 11, 2022",Utah,"Salt Lake City (Millcreek)","4051 S State St",1,1,N/A
2458368,"November 11, 2022",Texas,Orange,"Cove Dr",1,0,N/A
2458359,"November 11, 2022",Kansas,Topeka,"SW 29th St and SW Villa W Dr",1,0,N/A
2458318,"November 11, 2022",Arizona,Phoenix,"27th Ave and Ocotillo Rd",1,0,N/A
2457821,"November 11, 2022",California,"Los Angeles","1700 block of W 69th St",1,0,N/A
2457802,"November 11, 2022",Alaska,Anchorage,"900 block of Chugach Way",1,0,N/A
2457783,"November 11, 2022",Texas,Dallas,"8300 block of Lake June Rd",1,0,N/A
2458292,"November 11, 2022",Louisiana,Gonzales,"1800 block of Burnside Ave",1,0,N/A
2457771,"November 11, 2022",Georgia,Atlanta,"928 Pelham St NW",1,0,N/A
2458058,"November 11, 2022",Maryland,Hyattsville,"1500 block of Madison St",1,0,N/A
2458262,"November 11, 2022",Florida,Seffner,"4000 block of Brower Dr",1,0,N/A
2458034,"November 11, 2022",Illinois,Chicago,"7300 S South Shore Dr",1,1,N/A
2458254,"November 11, 2022",Florida,Sanford,"900 W 9th St",1,0,N/A
2458250,"November 11, 2022",California,Modesto,"1501 Coffee Rd",1,0,N/A
2458232,"November 11, 2022",California,"Citrus Heights","7795 Antelope Rd",1,0,N/A
2458230,"November 11, 2022",Florida,Jacksonville,"3600 Ring Ln",1,0,N/A
2457688,"November 11, 2022",Indiana,"South Bend","1300 block of Vassar Ave",1,0,N/A
2457676,"November 11, 2022",Florida,Jacksonville,"628 Winona Dr",1,0,N/A
2457658,"November 11, 2022",Indiana,"Tell City","Main St",1,0,N/A
2458162,"November 11, 2022","North Carolina",Greensboro,"Pearson St and Ross Ave",1,0,N/A
2458157,"November 11, 2022",Georgia,Augusta,"1931 Murphy Rd",1,0,N/A
2458114,"November 11, 2022",Arkansas,"North Little Rock","3900 block of McCain Blvd",2,0,N/A
2457342,"November 10, 2022",Tennessee,Memphis,"Julann Dr and Pickering Dr",1,0,N/A
2456938,"November 10, 2022",Maryland,"Hyattsville (Landover)","E Ridge Dr and E Spring Pl",1,1,N/A
2457683,"November 10, 2022",Texas,Arlington,"600 block of E Lynn Creek Dr",2,0,N/A
2458017,"November 10, 2022",Michigan,Detroit,"20100 block of Ardmore St",1,0,N/A
2457353,"November 10, 2022",Michigan,Detroit,"Pilgrim St and Meyers Rd",1,0,N/A
2457270,"November 10, 2022","New Mexico",Albuquerque,"400 Roma Ave NW",1,0,N/A
2457978,"November 10, 2022","North Carolina",Fayetteville,"Lawndale St",1,0,N/A
2457779,"November 10, 2022",Ohio,Toledo,"2700 block of Albion St",3,0,N/A
2457227,"November 10, 2022",Illinois,Chicago,"50 block of W 95th St",1,2,N/A
2457198,"November 10, 2022",Ohio,"Cleveland (Garfield Heights)","11200 block of Mountview Ave",1,1,N/A
2457741,"November 10, 2022","New York",Albany,"300 block of Second St",1,1,N/A
2457148,"November 10, 2022",Nevada,"North Las Vegas","3300 block of Civic Center Dr",1,0,N/A
2457495,"November 10, 2022",Georgia,Atlanta,"3478 Lakeside Dr",1,0,N/A
2457179,"November 10, 2022","New York","Corona (Queens)","77th Rd and Main St",1,0,N/A
2457736,"November 10, 2022","New York",Brooklyn,"W 36th St and Neptune Ave",1,0,N/A
2457501,"November 10, 2022",Georgia,Decatur,"Burgess Dr",1,1,N/A
2457053,"November 10, 2022",Colorado,Pueblo,"3600 block of Dillon Dr",1,0,N/A
2457727,"November 10, 2022",Texas,Katy,"3200 block of Windmoor Dr",1,1,N/A
2458259,"November 10, 2022",Arkansas,"Little Rock","13500 Chenal Pkwy",1,0,N/A
2458234,"November 10, 2022",Alabama,Selma,"600 block of Martin Luther King Ave",1,0,N/A
2457463,"November 10, 2022",Florida,Miami,"665 Ives Dairy Rd",1,0,N/A
2457666,"November 10, 2022",Maryland,Baltimore,"4300 block of Tucker Cir",1,0,N/A
2457268,"November 10, 2022","District of Columbia",Washington,"4500 block of Quarles St NE",1,0,N/A
2457065,"November 10, 2022","District of Columbia",Washington,"Pomeroy Rd SE and Stanton Rd SE",1,0,N/A
2457424,"November 10, 2022",Texas,"El Paso","8600 block of Roberts Dr",1,0,N/A
2456999,"November 10, 2022",Indiana,Indianapolis,"3400 block of N Grant Ave",1,1,N/A
2457644,"November 10, 2022",Pennsylvania,Philadelphia,"1300 block of Somerset St",1,1,N/A
