,Date,City,State,CompAddress,Latitude,Longitude,PartialAddress
1,2022-11-12,Orlando,Florida,"801 Rio Grande Ave, Orlando, Florida, USA",28.5333463,-81.3999933,"Orlando, Florida, USA"
2,2022-11-12,Minneapolis,Minnesota,"4700 block of Lyndale Ave N, Minneapolis, Minnesota, USA",45.0410232,-93.2861215,"Minneapolis, Minnesota, USA"
3,2022-11-12,Dothan,Alabama,"W Main St and Montana St, Dothan, Alabama, USA",31.2257594,-85.4024521,"Dothan, Alabama, USA"
4,2022-11-12,Madison,Tennessee,"Maple St and Gallatin Pike S, Madison, Tennessee, USA",36.248822,-86.7197907,"Madison, Tennessee, USA"
5,2022-11-12,Lexington,Kentucky,"300 block of Darby Creek Rd, Lexington, Kentucky, USA",38.0039816,-84.4331474,"Lexington, Kentucky, USA"
6,2022-11-12,Rahway,New Jersey,"1400 block of Witherspoon St, Rahway, New Jersey, USA",40.5980299,-74.2634768,"Rahway, New Jersey, USA"
7,2022-11-12,Hackensack,New Jersey,"Lehigh St and Essex St, Hackensack, New Jersey, USA",40.8805157,-74.0535682,"Hackensack, New Jersey, USA"
8,2022-11-12,Aurora,Colorado,"900 block of S Crystal Way, Aurora, Colorado, USA",39.700914,-104.822098,"Aurora, Colorado, USA"
9,2022-11-12,Phoenix,Arizona,"44th St and Thunderbird Rd, Phoenix, Arizona, USA",33.611708,-111.9865842,"Phoenix, Arizona, USA"
10,2022-11-12,Kutztown,Pennsylvania,"435 Baldy Rd, Kutztown, Pennsylvania, USA",40.5061269,-75.7756913,"Kutztown, Pennsylvania, USA"
11,2022-11-12,Baltimore,Maryland,"3100 block of Spaulding Ave, Baltimore, Maryland, USA",39.3487672,-76.6739419,"Baltimore, Maryland, USA"
12,2022-11-12,Foley,Alabama,"1600 block of N Pine St, Foley, Alabama, USA",30.4242573,-87.6874505,"Foley, Alabama, USA"
13,2022-11-12,Hammond,Louisiana,"Stephenson Ln, Hammond, Louisiana, USA",30.4821736,-90.5117365,"Hammond, Louisiana, USA"
14,2022-11-12,Arcadia,Florida,"SW Charlotte St, Arcadia, Florida, USA",27.1364662,-81.8823081,"Arcadia, Florida, USA"
15,2022-11-12,Dumfries,Virginia,"Williamstown Dr and Old Triangle Rd, Dumfries, Virginia, USA",38.563611,-77.323181,"Dumfries, Virginia, USA"
16,2022-11-12,Spring Hill,Florida,"12480 Feather St, Spring Hill, Florida, USA",28.4596113,-82.5127912,"Spring Hill, Florida, USA"
17,2022-11-12,Philadelphia,Pennsylvania,"Berkeley Dr and McMichael St, Philadelphia, Pennsylvania, USA",40.0116055,-75.1807162,"Philadelphia, Pennsylvania, USA"
18,2022-11-12,Richmond,Indiana,"1110 block of N I St, Richmond, Indiana, USA",39.8396421,-84.8868281,"Richmond, Indiana, USA"
19,2022-11-12,San Antonio,Texas,"200 block of Hazel St, San Antonio, Texas, USA",29.4068931,-98.5182136,"San Antonio, Texas, USA"
20,2022-11-12,Rochester,New York,"Norton St and Hudson Ave, Rochester, New York, USA",43.1868219,-77.5995674,"Rochester, New York, USA"
21,2022-11-11,Houston,Texas,"900 block of Ridge St, Houston, Texas, USA",29.7828948,-95.38203,"Houston, Texas, USA"
22,2022-11-11,Fort Worth,Texas,"4300 block of Panola Ave, Fort Worth, Texas, USA",32.738481,-97.2604392,"Fort Worth, Texas, USA"
23,2022-11-11,Milwaukee,Wisconsin,"3000 block of N 14th St, Milwaukee, Wisconsin, USA",43.0731979,-87.9291758,"Milwaukee, Wisconsin, USA"
24,2022-11-11,Fremont,Michigan,"Sleeper Ave and W 80th St, Fremont, Michigan, USA",43.4093547,-85.9651513,"Fremont, Michigan, USA"
25,2022-11-11,Kalamazoo,Michigan,"W Michigan Ave and Howard St, Kalamazoo, Michigan, USA",42.2816512,-85.6217242,"Kalamazoo, Michigan, USA"
