,Date,City,State,Latitude,Longitude
0,2009-01-27,Wilmington,CA,33.7832634,-118.2549338
1,2009-02-14,Brockport,NY,43.221,-77.943
2,2009-03-05,Cleveland,OH,41.4774642,-81.6865138
3,2009-03-10,Coffee and Geneva County,AL,31.1129,-86.0459
4,2009-03-15,Miami,FL,25.7377809,-80.2595799
5,2009-03-21,East Oakland,CA,37.7776884,-122.1902171
6,2009-03-29,Santa Clara,CA,37.39797,-121.9682421
7,2009-03-29,Carthage,NC,35.3333426,-79.4146051
8,2009-04-03,Binghamton,NY,42.0997,-75.9172
9,2009-04-04,Graham,WA,47.0709264,-122.2534173
10,2009-04-06,Green Hill,AL,34.973,-87.5121
11,2009-04-19,Middletown,MD,39.4428,-77.5455
12,2009-06-22,Kansas City,KS,39.1127,-95.0286075
13,2009-08-27,Lawrenceville,GA,33.955,-83.9882
14,2009-11-01,Mount Airy,NC,36.4893683,-80.6121907
15,2009-11-05,Fort Hood,TX,31.1950059,-97.743503
16,2009-11-09,Oklahoma City,OK,35.4684,-97.5212
17,2009-11-12,Pearcy,AR,34.4286,-93.2897
18,2009-11-26,Jupiter,FL,26.9188313,-80.1121129
19,2009-11-28,Osage,KS,38.7504862,-95.8525965
20,2009-11-29,Lakewood,WA,47.1528883,-122.4694522
21,2009-12-03,Madison,WI,43.1081714,-89.5540708
22,2010-01-16,Bellville,TX,30.0388274,-96.1958491
23,2010-01-19,Appomattox,VA,37.3552,-78.8229
24,2010-03-26,New Orleans,LA,29.9506,-90.0749
25,2010-03-30,Washington,DC,38.82298,-77.0094644
26,2010-04-03,Los Angeles,CA,34.1578673,-118.38943
27,2010-04-14,Chicago,IL,41.7612879,-87.6966486
28,2010-06-06,Hialeah,FL,25.8675643,-80.2728595
29,2010-08-03,Manchester,CT,41.7706,-72.5208
30,2010-08-06,Lanham,MD,38.9648,-76.8402
31,2010-08-14,Buffalo,NY,42.8876,-78.8793
32,2010-08-29,Lake Havasu,AZ,34.4961,-114.3489
33,2010-09-02,Chicago,IL,41.8832,-87.6323
34,2010-09-10,Jackson,KY,37.5576,-83.3815
35,2010-09-27,Riviera Beach,FL,26.7834,-80.0548
36,2010-09-28,Boston,MA,42.3588,-71.0567
37,2011-01-08,Tucson,AZ,32.3367887,-110.9795511
