,Date,City,State,CompAddress,PartialAddress
0,2022-11-12,Orlando,Florida,"801 Rio Grande Ave, Orlando, Florida, USA","Orlando, Florida, USA"
1,2022-11-12,Minneapolis,Minnesota,"4700 block of Lyndale Ave N, Minneapolis, Minnesota, USA","Minneapolis, Minnesota, USA"
2,2022-11-12,Dothan,Alabama,"W Main St and Montana St, Dothan, Alabama, USA","Dothan, Alabama, USA"
3,2022-11-12,Madison,Tennessee,"Maple St and Gallatin Pike S, Madison, Tennessee, USA","Madison, Tennessee, USA"
4,2022-11-12,Lexington,Kentucky,"300 block of Darby Creek Rd, Lexington, Kentucky, USA","Lexington, Kentucky, USA"
5,2022-11-12,Rahway,New Jersey,"1400 block of Witherspoon St, Rahway, New Jersey, USA","Rahway, New Jersey, USA"
6,2022-11-12,Hackensack,New Jersey,"Lehigh St and Essex St, Hackensack, New Jersey, USA","Hackensack, New Jersey, USA"
7,2022-11-12,Aurora,Colorado,"900 block of S Crystal Way, Aurora, Colorado, USA","Aurora, Colorado, USA"
8,2022-11-12,Phoenix,Arizona,"44th St and Thunderbird Rd, Phoenix, Arizona, USA","Phoenix, Arizona, USA"
9,2022-11-12,Kutztown,Pennsylvania,"435 Baldy Rd, Kutztown, Pennsylvania, USA","Kutztown, Pennsylvania, USA"
10,2022-11-12,Baltimore,Maryland,"3100 block of Spaulding Ave, Baltimore, Maryland, USA","Baltimore, Maryland, USA"
11,2022-11-12,Foley,Alabama,"1600 block of N Pine St, Foley, Alabama, USA","Foley, Alabama, USA"
12,2022-11-12,Hammond,Louisiana,"Stephenson Ln, Hammond, Louisiana, USA","Hammond, Louisiana, USA"
13,2022-11-12,Arcadia,Florida,"SW Charlotte St, Arcadia, Florida, USA","Arcadia, Florida, USA"
14,2022-11-12,Dumfries,Virginia,"Williamstown Dr and Old Triangle Rd, Dumfries, Virginia, USA","Dumfries, Virginia, USA"
15,2022-11-12,Spring Hill,Florida,"12480 Feather St, Spring Hill, Florida, USA","Spring Hill, Florida, USA"
16,2022-11-12,Philadelphia,Pennsylvania,"Berkeley Dr and McMichael St, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
17,2022-11-12,Richmond,Indiana,"1110 block of N I St, Richmond, Indiana, USA","Richmond, Indiana, USA"
18,2022-11-12,San Antonio,Texas,"200 block of Hazel St, San Antonio, Texas, USA","San Antonio, Texas, USA"
19,2022-11-12,Rochester,New York,"Norton St and Hudson Ave, Rochester, New York, USA","Rochester, New York, USA"
20,2022-11-11,Houston,Texas,"900 block of Ridge St, Houston, Texas, USA","Houston, Texas, USA"
21,2022-11-11,Fort Worth,Texas,"4300 block of Panola Ave, Fort Worth, Texas, USA","Fort Worth, Texas, USA"
22,2022-11-11,Milwaukee,Wisconsin,"3000 block of N 14th St, Milwaukee, Wisconsin, USA","Milwaukee, Wisconsin, USA"
23,2022-11-11,Fremont,Michigan,"Sleeper Ave and W 80th St, Fremont, Michigan, USA","Fremont, Michigan, USA"
24,2022-11-11,Kalamazoo,Michigan,"W Michigan Ave and Howard St, Kalamazoo, Michigan, USA","Kalamazoo, Michigan, USA"
25,2022-11-11,Milwaukee,Wisconsin,"N 11th St and W Burleigh St, Milwaukee, Wisconsin, USA","Milwaukee, Wisconsin, USA"
26,2022-11-11,Lynchburg,Virginia,"106 Cornerstone St, Lynchburg, Virginia, USA","Lynchburg, Virginia, USA"
27,2022-11-11,Carrollton,Mississippi,"MS-35 and Teoc Rd, Carrollton, Mississippi, USA","Carrollton, Mississippi, USA"
28,2022-11-11,Richmond,Virginia,"4000 block of Old Brook Rd, Richmond, Virginia, USA","Richmond, Virginia, USA"
29,2022-11-11,Louisville,Kentucky,"1100 block of Royal Gardens Ct, Louisville, Kentucky, USA","Louisville, Kentucky, USA"
30,2022-11-11,Aurora,Colorado,"900 block of Zion St, Aurora, Colorado, USA","Aurora, Colorado, USA"
31,2022-11-11,San Antonio,Texas,"10000 block of Ingram Rd, San Antonio, Texas, USA","San Antonio, Texas, USA"
32,2022-11-11,Brunswick,Ohio,,"Brunswick, Ohio, USA"
33,2022-11-11,Salt Lake City (Millcreek),Utah,"4051 S State St, Salt Lake City (Millcreek), Utah, USA","Salt Lake City (Millcreek), Utah, USA"
34,2022-11-11,Orange,Texas,"Cove Dr, Orange, Texas, USA","Orange, Texas, USA"
35,2022-11-11,Topeka,Kansas,"SW 29th St and SW Villa W Dr, Topeka, Kansas, USA","Topeka, Kansas, USA"
36,2022-11-11,Phoenix,Arizona,"27th Ave and Ocotillo Rd, Phoenix, Arizona, USA","Phoenix, Arizona, USA"
37,2022-11-11,Los Angeles,California,"1700 block of W 69th St, Los Angeles, California, USA","Los Angeles, California, USA"
38,2022-11-11,Anchorage,Alaska,"900 block of Chugach Way, Anchorage, Alaska, USA","Anchorage, Alaska, USA"
39,2022-11-11,Dallas,Texas,"8300 block of Lake June Rd, Dallas, Texas, USA","Dallas, Texas, USA"
40,2022-11-11,Gonzales,Louisiana,"1800 block of Burnside Ave, Gonzales, Louisiana, USA","Gonzales, Louisiana, USA"
41,2022-11-11,Atlanta,Georgia,"928 Pelham St NW, Atlanta, Georgia, USA","Atlanta, Georgia, USA"
