,Date,City,State,CompAddress,Latitude,Longitude
0,2022-11-10,Hyattsville (Landover),Maryland,"7200 block of E Ridge Dr, Hyattsville (Landover), Maryland, USA",38.918969,-76.882883
1,2022-11-10,Pueblo,Colorado,"3600 block of Dillon Dr, Pueblo, Colorado, USA",38.3059856,-104.6068588
2,2022-11-10,Washington,District of Columbia,"Pomeroy Rd SE and Stanton Rd SE, Washington, District of Columbia, USA",38.8561913,-76.9869967
3,2022-11-09,Boston,Massachusetts,"Paxton St and Harvard St, Boston, Massachusetts, USA",42.2923583,-71.090028
4,2022-11-09,Oakton,Virginia,"11400 block of Waples Mill Rd, Oakton, Virginia, USA",38.8765699,-77.3393745
5,2022-11-09,Dothan,Alabama,"Miles Lane, Dothan, Alabama, USA",31.2333425,-85.3896536
6,2022-11-09,Birmingham,Alabama,"4500 Richard Arrington Jr Blvd, Birmingham, Alabama, USA",33.5432877,-86.769485
7,2022-11-09,Tampa,Florida,"8600 block of N 11th St, Tampa, Florida, USA",28.0278089,-82.4480742
8,2022-11-09,Silver Spring,Maryland,"554 Southampton Dr, Silver Spring, Maryland, USA",39.0069149,-76.9866457
9,2022-11-09,Grand Junction,Colorado,"1100 block of 22 Rd, Grand Junction, Colorado, USA",39.1642676,-108.6452586
10,2022-11-09,Denver (Northglenn),Colorado,"Fox Run Pkwy and Fox Run Cir, Denver (Northglenn), Colorado, USA",39.8887339,-104.94743
11,2022-11-09,Pittsburgh,Pennsylvania,"1928 Cochran Rd, Pittsburgh, Pennsylvania, USA",40.3937831,-80.065061
12,2022-11-09,Urbana,Illinois,"1300 block of S Philo Rd, Urbana, Illinois, USA",40.1016187,-88.1904801
13,2022-11-09,Philadelphia,Pennsylvania,"5401 Akron St, Philadelphia, Pennsylvania, USA",40.0271721,-75.0792152
14,2022-11-09,Killeen,Texas,"200 block of E Bryce Ave, Killeen, Texas, USA",31.1108506,-97.7326006
15,2022-11-09,Erwin,North Carolina,"Lucas Rd, Erwin, North Carolina, USA",35.3160099,-78.6487109
16,2022-11-09,Toledo,Ohio,"600 block of Locust Ave, Toledo, Ohio, USA",41.6582686,-83.5289119
17,2022-11-09,Corona (Queens),New York,"Parsons Blvd and Franklin Ave, Corona (Queens), New York, USA",40.7449859,-73.8642613
18,2022-11-09,Merced,California,"Q St and W 12th St, Merced, California, USA",37.2989189,-120.4939326
19,2022-11-09,Chicago,Illinois,"3700 block of W Chicago Ave, Chicago, Illinois, USA",41.8957388,-87.7190797
20,2022-11-09,Catoosa,Oklahoma,"25010 Alliance Dr, Catoosa, Oklahoma, USA",36.2474949,-95.7169845
21,2022-11-09,Chicago,Illinois,"10600 block of S Yates Ave, Chicago, Illinois, USA",41.7027269,-87.5644298
22,2022-11-09,Newberry,Florida,"27726 SW 87th Ave, Newberry, Florida, USA",29.5742814,-82.6347968
23,2022-11-09,Chicago,Illinois,"W Wallen Ave and N Clark St, Chicago, Illinois, USA",42.0026324,-87.6721539
