,Date,City,State,CompAddress
0,2022-11-10,Hyattsville (Landover),Maryland,"7200 block of E Ridge Dr, Hyattsville (Landover), Maryland, USA"
1,2022-11-10,Pueblo,Colorado,"3600 block of Dillon Dr, Pueblo, Colorado, USA"
2,2022-11-10,Washington,District of Columbia,"Pomeroy Rd SE and Stanton Rd SE, Washington, District of Columbia, USA"
3,2022-11-09,Boston,Massachusetts,"Paxton St and Harvard St, Boston, Massachusetts, USA"
4,2022-11-09,Oakton,Virginia,"11400 block of Waples Mill Rd, Oakton, Virginia, USA"
5,2022-11-09,Dothan,Alabama,"Miles Lane, Dothan, Alabama, USA"
6,2022-11-09,Birmingham,Alabama,"4500 Richard Arrington Jr Blvd, Birmingham, Alabama, USA"
7,2022-11-09,Tampa,Florida,"8600 block of N 11th St, Tampa, Florida, USA"
8,2022-11-09,Silver Spring,Maryland,"554 Southampton Dr, Silver Spring, Maryland, USA"
9,2022-11-09,Grand Junction,Colorado,"1100 block of 22 Rd, Grand Junction, Colorado, USA"
10,2022-11-09,Denver (Northglenn),Colorado,"Fox Run Pkwy and Fox Run Cir, Denver (Northglenn), Colorado, USA"
11,2022-11-09,Pittsburgh,Pennsylvania,"1928 Cochran Rd, Pittsburgh, Pennsylvania, USA"
12,2022-11-09,Urbana,Illinois,"1300 block of S Philo Rd, Urbana, Illinois, USA"
13,2022-11-09,Philadelphia,Pennsylvania,"5401 Akron St, Philadelphia, Pennsylvania, USA"
14,2022-11-09,Killeen,Texas,"200 block of E Bryce Ave, Killeen, Texas, USA"
15,2022-11-09,Erwin,North Carolina,"Lucas Rd, Erwin, North Carolina, USA"
16,2022-11-09,Toledo,Ohio,"600 block of Locust Ave, Toledo, Ohio, USA"
17,2022-11-09,Corona (Queens),New York,"Parsons Blvd and Franklin Ave, Corona (Queens), New York, USA"
18,2022-11-09,Merced,California,"Q St and W 12th St, Merced, California, USA"
19,2022-11-09,Chicago,Illinois,"3700 block of W Chicago Ave, Chicago, Illinois, USA"
20,2022-11-09,Catoosa,Oklahoma,"25010 Alliance Dr, Catoosa, Oklahoma, USA"
21,2022-11-09,Chicago,Illinois,"10600 block of S Yates Ave, Chicago, Illinois, USA"
22,2022-11-09,Newberry,Florida,"27726 SW 87th Ave, Newberry, Florida, USA"
23,2022-11-09,Chicago,Illinois,"W Wallen Ave and N Clark St, Chicago, Illinois, USA"
24,2022-11-09,Kansas City,Kansas,"2700 block of Wood Ave, Kansas City, Kansas, USA"
25,2022-11-09,New Orleans,Louisiana,"131000 block of Bishop Morton Dr, New Orleans, Louisiana, USA"
26,2022-11-08,Little Rock,Arkansas,"4612 Grand Ave, Little Rock, Arkansas, USA"
27,2022-11-08,Richmond,Virginia,"1400 block of Drewry St, Richmond, Virginia, USA"
28,2022-11-08,Memphis (Bartlett),Tennessee,"6390 Summer Ave, Memphis (Bartlett), Tennessee, USA"
29,2022-11-08,South Gate,California,"3000 block of Firestone Blvd, South Gate, California, USA"
30,2022-11-08,New Haven,Connecticut,"282 Ferry St, New Haven, Connecticut, USA"
31,2022-11-08,Jacksonville,North Carolina,"White St, Jacksonville, North Carolina, USA"
